Game Id,points,result,attendance,minutes,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,two_points_made,two_points_att,two_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,foulouts,points,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,team_tech_fouls,coach_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,personal_rebounds,player_turnovers,pls_min,effective_fg_pct,bench_points,points_in_paint_att,points_in_paint_made,points_in_paint_pct,true_shooting_att,true_shooting_pct,biggest_lead,fouls_drawn,offensive_fouls,efficiency,efficiency_game_score,defensive_rating,offensive_rating,coach_ejections,points_against,possessions,opponent_possessions,time_leading,defensive_points_per_possession,offensive_points_per_possession,team_fouls,total_fouls,second_chance_att,second_chance_made,second_chance_pct,fast_break_att,fast_break_made,fast_break_pct,home_away,capacity
56e79a40-ad36-4f91-b91b-ac9898586009,127,win,17341,4:00:00,48,105,45.7,17,45,37.8,31,60,51.7,9,14,18,77.8,13,41,25,8,9,3.57,19,0,0,127,21,16,1,22,8,0,0,0,0,42,7,1,62,54,7,23,53.8,45,39,21,53.8,112.92,56.2,23,17,1,144,109.7,101.840971406189,117.67976278725,0,104,107.92,102.12,46:03,0.96,1.18,0,19,17,7,41.2,10,8,80.0,home,17500
56e79a40-ad36-4f91-b91b-ac9898586009,104,loss,17341,4:00:00,37,84,44.0,17,32,53.1,20,52,38.5,9,13,23,56.5,5,39,19,3,9,1.58,17,0,0,104,15,6,1,2,12,1,0,0,0,34,10,2,56,44,12,-23,54.2,25,43,17,39.5,94.12,55.2,2,19,1,103,75.0,117.67976278725,101.840971406189,0,127,102.12,107.92,00:19,1.24,1.02,0,17,6,2,33.3,8,5,62.5,away,17500
c2aa6ec9-4c7f-4276-b97b-b557e14234bb,88,loss,20088,4:00:00,36,90,40.0,6,28,21.4,30,62,48.4,5,10,13,76.9,11,36,17,7,5,1.06,16,0,0,88,6,8,1,15,5,0,0,0,0,50,4,1,52,47,16,-6,43.3,32,47,25,53.2,95.72,46.0,9,19,1,89,56.7,93.4393638170974,86.5119937082186,0,94,101.72,100.6,29:09,0.92,0.87,0,16,10,4,40.0,4,3,75.0,home,20491
c2aa6ec9-4c7f-4276-b97b-b557e14234bb,94,win,20088,4:00:00,37,86,43.0,7,23,30.4,30,63,47.6,5,13,15,86.7,9,39,18,8,5,1.06,19,0,0,94,15,14,0,22,8,0,1,0,0,46,5,3,56,48,17,6,47.1,10,51,23,45.1,92.6,50.8,8,16,3,96,65.3,86.5119937082186,93.4393638170974,0,88,100.6,101.72,13:26,0.87,0.93,0,19,8,5,62.5,8,6,75.0,away,20491
67d05d04-8624-4bfd-b32d-39eddb31f38e,138,win,19812,4:50:00,51,105,48.6,17,45,37.8,34,60,56.7,9,19,27,70.4,7,48,27,9,10,1.59,22,0,0,138,14,14,2,17,16,0,0,1,0,60,14,2,71,55,17,4,56.7,31,44,30,68.2,116.88,59.0,11,24,2,153,110.1,102.981862895788,107.07635009311,0,134,128.88,130.12,19:40,1.04,1.07,1,23,7,5,71.4,13,7,53.8,home,19812
67d05d04-8624-4bfd-b32d-39eddb31f38e,134,loss,19812,4:50:00,48,117,41.0,21,57,36.8,27,60,45.0,10,17,23,73.9,15,41,34,13,9,1.89,24,0,0,134,19,9,0,17,10,0,0,0,0,42,10,0,66,56,18,-4,50.0,22,39,21,53.8,127.12,52.7,12,22,3,141,107.2,107.07635009311,102.981862895788,0,138,130.12,128.88,31:37,1.06,1.03,0,24,15,3,20.0,12,7,58.3,away,19812
8fd012e3-d9fd-46bf-92ef-33f452e35f74,132,win,15975,4:00:00,53,100,53.0,14,33,42.4,39,67,58.2,5,12,12,100.0,13,40,28,8,8,2.8,15,0,0,132,22,13,2,21,4,0,1,0,0,70,3,1,57,53,10,11,60.0,32,58,35,60.3,105.28,62.7,16,17,0,168,121.5,115.325962638201,126.582278481013,0,121,104.28,104.92,42:38,1.16,1.27,0,15,14,6,42.9,15,10,66.7,home,18119
8fd012e3-d9fd-46bf-92ef-33f452e35f74,121,loss,15975,4:00:00,47,93,50.5,14,38,36.8,33,55,60.0,8,13,18,72.2,7,29,38,6,5,3.8,17,0,0,121,23,7,1,12,5,0,0,0,0,54,3,2,41,36,10,-11,58.1,39,40,27,67.5,100.92,59.9,4,15,0,135,105.6,126.582278481013,115.325962638201,0,132,104.92,104.28,3:55,1.26,1.15,0,17,6,3,50.0,13,10,76.9,away,18119
dbf3b245-2f75-4a92-ac7e-dda33eeda072,97,loss,12845,4:00:00,39,93,41.9,13,30,43.3,26,63,41.3,5,6,9,66.7,10,34,28,5,6,2.15,16,0,0,97,25,2,1,9,6,0,0,0,0,36,5,1,50,44,13,-20,48.9,17,47,18,38.3,96.96,50.0,3,11,1,100,72.9,116.071428571429,96.0776545166402,0,117,100.96,100.8,00:48,1.16,0.96,0,16,12,1,8.3,13,11,84.6,home,16867
dbf3b245-2f75-4a92-ac7e-dda33eeda072,117,win,12845,4:00:00,44,85,51.8,13,25,52.0,31,60,51.7,6,16,20,80.0,6,41,24,9,5,2.0,11,0,0,117,29,6,1,18,5,0,1,0,0,50,4,1,52,47,12,20,59.4,45,44,25,56.8,93.8,62.4,27,16,0,143,102.9,96.0776545166402,116.071428571429,0,97,100.8,100.96,43:38,0.96,1.16,0,11,5,3,60.0,13,11,84.6,away,16867
